27,30,27,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,24,24,27,24,24,24,24,24,27,27,25,24,24,24,27,24,25,24,24,24,24,29,29,24,24,24,31,31,27,27,27,24,25,24,24,24,24,24,25,31,27,31,24,27,24,25,30,31,27,24,24,30,30,31,31,27,25,24,24,24,17,29,24,25,24,24,29,29,29,24,25,24,27,27,24,
31,30,31,24,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,27,24,24,24,24,24,25,27,27,24,25,25,24,24,27,24,25,24,24,24,24,29,29,24,24,24,31,31,27,27,27,24,25,24,24,24,24,25,31,27,31,27,27,24,25,30,31,27,24,24,30,30,31,31,31,27,25,24,24,24,17,29,24,25,24,24,29,29,29,24,25,24,24,27,
30,24,30,27,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,24,24,24,24,24,24,24,27,27,27,24,24,25,24,24,27,24,25,24,24,24,24,29,29,24,24,24,31,31,27,27,27,24,25,24,24,24,24,25,31,27,31,27,27,24,25,30,31,27,24,24,30,30,31,31,31,27,24,24,24,24,17,24,25,24,24,29,29,29,24,25,24,24,29,
24,27,30,31,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,24,24,24,24,24,25,27,31,31,27,27,27,24,25,24,24,27,24,25,24,24,24,24,29,29,24,24,24,31,31,27,27,27,24,25,24,24,24,25,31,27,31,27,27,24,25,30,31,27,24,24,30,30,31,31,31,31,25,24,24,24,24,29,24,25,24,24,29,29,29,24,25,24,24,
25,31,24,30,24,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,24,24,25,25,24,27,31,31,27,27,27,27,24,24,24,27,24,25,24,24,24,24,29,29,24,24,24,24,31,31,27,27,27,24,25,24,24,24,25,31,27,31,27,27,24,25,30,31,27,24,24,30,30,31,31,31,27,25,24,24,24,17,29,24,25,24,24,29,29,29,25,24,24,
27,30,27,30,27,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,24,25,24,24,27,27,31,31,31,27,27,27,27,25,24,24,24,27,24,25,24,24,24,24,29,29,24,24,24,31,31,27,27,27,24,25,24,24,24,25,31,27,31,24,27,24,25,30,31,27,24,24,30,30,31,31,31,27,25,24,24,25,25,24,24,25,24,24,29,29,29,29,29,
31,24,31,24,31,24,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,24,27,27,27,24,25,31,31,31,31,27,27,24,25,25,24,24,27,24,25,24,24,24,24,29,29,24,24,24,31,31,27,27,27,24,25,24,24,25,24,25,25,24,24,25,24,24,29,29,29,24,24,30,30,31,31,31,27,24,25,25,24,24,25,24,24,29,29,29,17,17,17,
31,25,30,27,30,27,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,27,27,27,27,25,24,25,31,31,31,31,27,27,24,24,25,24,24,27,24,25,24,24,24,24,29,29,24,24,24,31,31,27,27,27,24,25,24,24,24,25,25,24,24,25,24,24,29,29,17,29,24,30,30,31,31,31,31,24,25,25,24,24,25,24,24,29,29,29,24,24,24,
31,27,24,31,30,31,24,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,27,27,25,24,17,24,31,31,31,31,31,27,27,27,24,25,24,24,27,24,25,24,24,24,24,29,29,24,24,24,31,31,27,27,27,24,25,24,31,27,24,25,25,25,24,24,24,25,24,17,29,24,30,30,31,24,25,25,24,24,25,24,24,29,29,29,29,17,24,24,24,
31,31,25,30,24,30,27,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,27,24,24,17,17,29,25,31,31,31,31,27,27,27,27,24,25,24,24,27,24,25,24,24,24,24,29,29,24,24,24,31,31,27,27,27,24,24,31,31,27,24,25,27,24,25,24,25,24,24,17,29,24,30,30,24,25,25,24,24,25,24,24,29,29,29,17,24,24,24,24,
25,31,27,24,27,30,31,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,27,24,16,17,17,29,24,25,25,31,31,31,27,27,27,27,24,24,24,27,24,25,24,24,24,24,29,29,24,24,24,24,31,31,27,27,27,25,31,31,31,27,24,25,31,27,24,25,24,24,24,17,29,29,25,25,24,24,25,24,24,29,29,29,29,17,24,24,24,24,24,
24,31,31,25,31,24,30,24,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,25,19,16,17,17,29,24,24,25,31,31,31,31,27,27,27,25,24,24,27,24,25,24,24,24,24,29,29,24,24,24,24,31,31,27,27,24,31,31,31,31,31,27,24,25,31,27,24,24,24,24,17,17,29,29,29,24,29,29,29,29,29,17,17,24,24,24,25,25,25,
31,31,31,27,30,27,30,27,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,25,19,16,17,17,29,29,30,24,25,31,31,31,31,27,27,24,25,24,24,27,24,25,24,24,24,24,29,29,24,24,24,24,31,31,27,27,30,31,31,31,31,31,31,31,27,24,25,24,24,24,24,24,17,17,17,29,29,29,17,17,17,24,24,24,24,24,27,27,27,
24,24,30,30,31,31,31,27,27,30,30,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,25,19,16,17,17,29,29,30,31,24,31,31,31,31,31,27,27,24,25,24,24,27,24,25,24,24,24,24,29,29,24,24,24,31,31,27,27,27,30,31,31,31,31,31,31,31,31,27,25,24,24,24,24,24,24,24,17,17,17,24,24,24,24,24,24,24,25,31,31,31,
31,27,24,24,30,30,31,31,31,27,27,30,30,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,25,19,16,17,17,29,29,30,31,25,31,31,31,31,31,27,27,24,25,24,24,27,24,25,24,24,24,24,29,29,24,24,24,31,31,27,31,27,30,31,31,31,31,31,31,31,31,27,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,27,31,31,31,
31,31,27,24,24,30,30,31,31,31,27,27,30,30,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,25,19,16,17,17,29,29,30,31,24,25,25,31,31,31,27,27,27,24,25,24,24,27,24,25,24,24,24,24,29,29,24,24,24,31,31,30,31,27,30,30,31,31,31,31,31,31,31,27,25,24,24,24,24,24,24,24,24,24,24,24,24,24,25,27,31,31,31,31,
30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,30,25,19,16,17,17,29,29,30,31,24,24,25,31,31,31,27,27,27,24,25,24,24,27,24,25,24,24,24,24,29,29,24,24,24,31,24,30,31,27,24,30,30,30,31,31,31,31,31,27,25,25,24,24,24,24,24,24,24,24,24,25,25,27,31,31,31,31,31,
31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,31,31,27,24,24,30,30,31,31,31,27,27,30,30,25,19,16,17,17,29,29,30,31,27,24,24,25,31,31,31,27,27,27,24,25,25,24,24,25,24,24,29,29,29,29,29,24,24,24,27,24,25,30,31,27,24,24,30,30,31,31,31,31,27,27,25,25,25,24,24,24,25,25,25,27,27,31,31,31,24,24,24,
31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,27,24,24,30,30,31,31,31,27,27,30,30,29,25,19,16,17,17,29,29,30,31,27,24,25,25,24,24,25,24,24,29,29,29,29,29,29,29,29,29,29,17,17,17,29,24,24,24,27,24,25,30,31,27,24,24,30,30,31,31,31,31,31,27,27,27,25,25,25,27,27,27,31,31,31,31,31,25,24,24,
30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,24,30,30,31,31,31,27,27,30,30,29,25,24,25,25,24,24,25,24,24,29,29,29,29,29,29,29,29,29,29,29,17,17,17,17,17,17,17,17,24,24,24,17,29,24,24,31,27,24,25,30,31,27,24,24,30,30,31,31,31,31,31,31,31,27,27,27,31,31,31,31,31,31,31,31,27,25,24,
24,30,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,30,30,31,31,31,27,27,30,30,17,24,24,25,25,24,24,25,24,24,29,29,29,17,17,17,17,17,17,17,24,24,24,24,24,24,24,24,24,24,24,24,17,29,29,24,31,27,24,25,30,31,27,24,24,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,27,25,
27,24,24,30,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,31,31,31,27,27,30,30,27,24,24,24,24,25,25,24,24,25,24,24,29,29,29,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,17,17,29,29,29,27,24,25,30,31,27,24,24,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,31,27,
31,27,27,24,24,30,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,31,27,27,30,30,31,31,31,24,24,24,25,25,24,24,25,24,24,29,29,29,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,17,29,24,25,24,27,24,25,30,31,27,24,24,30,30,31,31,31,31,31,31,31,31,31,24,24,30,30,31,31,31,31,
30,31,31,27,27,24,24,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,27,27,30,30,19,31,31,31,31,24,24,24,25,25,24,24,25,24,24,29,29,29,24,24,24,24,24,24,24,24,24,24,25,25,25,24,24,24,24,24,17,29,29,29,29,27,24,27,24,25,30,31,27,24,24,30,30,31,31,31,25,30,31,27,24,24,30,30,31,31,31,
30,30,30,31,31,27,27,24,30,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,30,27,24,31,31,31,31,31,24,24,24,24,25,25,24,24,25,24,24,29,29,29,25,25,25,25,25,25,25,25,27,27,27,25,24,24,24,24,24,17,17,29,29,17,27,24,25,30,31,27,24,24,30,30,31,31,25,27,24,25,30,31,27,24,24,30,30,31,31,
24,30,30,30,30,31,31,27,24,24,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,31,24,31,31,31,31,31,31,31,24,24,24,24,24,25,25,24,24,25,24,24,29,29,29,27,27,27,27,27,31,31,31,27,25,24,24,24,24,24,24,17,29,24,27,24,25,30,31,27,24,24,30,30,31,31,27,24,27,24,25,30,31,27,24,24,30,30,31,
27,24,24,30,30,30,30,31,27,27,24,30,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,30,30,31,31,31,31,31,31,31,24,24,24,24,24,25,25,24,24,25,24,24,29,29,29,31,31,31,31,31,31,31,27,25,25,24,24,24,24,24,17,29,27,24,25,30,31,27,24,24,30,30,31,31,31,24,24,27,24,25,30,31,27,24,24,30,30,
31,27,27,24,24,30,30,30,31,31,27,24,24,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,27,30,30,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,29,29,31,31,31,31,27,27,25,24,24,24,24,24,17,29,27,24,25,30,31,27,24,24,30,30,31,31,25,24,24,17,29,29,29,29,17,24,24,24,
30,31,31,27,27,24,24,30,30,30,31,27,27,24,30,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,27,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,24,24,25,24,24,24,25,25,24,24,25,24,24,29,29,29,27,24,25,30,31,27,24,24,30,30,31,31,27,24,24,24,17,29,29,17,24,24,24,24,
24,30,30,31,31,27,27,24,30,30,30,31,31,27,24,24,30,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,30,24,24,24,24,24,24,25,25,24,24,25,24,24,29,29,17,17,27,24,25,30,31,27,24,24,30,30,31,31,24,24,24,24,17,17,24,24,24,24,24,
25,24,24,30,30,31,31,27,24,24,30,30,30,31,27,27,24,24,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,27,24,24,24,24,24,31,27,24,25,25,25,24,24,24,25,24,25,27,24,25,30,31,27,24,24,30,30,31,31,25,24,24,24,24,24,24,24,24,24,25,
27,25,25,24,24,30,30,31,27,27,24,30,30,30,31,31,27,27,24,30,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,31,31,31,31,31,31,31,31,27,24,25,27,24,25,24,25,24,24,27,24,25,30,31,27,24,24,30,30,31,31,27,25,24,24,24,24,24,24,25,25,27,
31,27,27,25,25,24,24,30,31,31,27,24,24,30,30,30,31,31,27,24,24,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,30,30,31,31,31,31,30,31,31,31,27,24,0,0,30,31,31,31,27,27,30,30,27,30,31,31,31,31,31,31,31,31,27,24,25,31,27,24,25,24,24,24,27,24,25,30,31,27,24,24,30,30,31,31,27,25,24,24,24,24,25,27,27,31,
31,31,31,27,27,25,25,24,30,30,31,27,27,24,30,30,30,30,31,27,27,24,30,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,31,30,31,31,31,27,24,264,0,30,31,31,31,27,27,30,30,31,24,31,31,31,31,31,31,31,31,31,31,27,24,25,31,27,24,31,31,27,24,25,30,31,27,24,24,30,30,31,31,31,27,25,24,24,25,27,31,31,31,
31,31,31,31,31,27,27,25,24,24,30,31,31,27,24,24,30,30,30,31,31,27,24,24,30,30,31,31,31,31,30,31,31,31,27,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,27,30,27,31,31,31,31,31,30,31,31,31,31,31,31,31,27,24,25,31,31,27,24,25,30,31,27,24,24,30,30,31,31,31,31,27,25,25,27,31,31,31,31,
31,31,31,31,31,31,31,27,25,25,24,30,30,31,27,27,24,24,30,30,30,31,27,27,24,30,30,30,31,31,31,31,30,31,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,27,31,24,27,30,30,30,30,30,27,30,31,31,31,31,31,31,31,31,27,31,31,31,27,24,25,30,31,27,24,24,30,30,31,31,31,31,27,27,31,31,31,31,31,
25,31,31,31,31,31,31,31,27,27,25,24,24,30,31,31,27,27,24,30,30,30,31,31,27,24,24,30,30,31,31,31,31,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,27,31,30,27,24,27,27,27,27,27,31,27,30,31,31,31,31,31,31,31,31,29,25,24,24,27,24,25,30,31,27,24,24,30,30,31,31,31,31,31,31,31,31,31,24,
24,25,25,31,31,31,31,31,31,31,27,25,25,24,30,30,31,31,27,24,24,30,30,30,31,27,27,24,30,30,31,31,31,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,31,30,24,27,25,31,31,31,31,31,30,31,27,30,30,31,31,31,31,31,31,17,29,29,29,29,27,24,25,30,31,27,24,24,30,30,31,31,31,31,31,31,17,29,27,
31,24,24,25,25,31,31,31,31,31,31,27,27,25,24,24,30,30,31,27,27,24,30,30,30,31,31,27,24,30,30,31,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,27,30,24,27,24,24,30,30,30,30,30,24,30,31,27,24,30,30,30,31,31,31,24,17,17,17,17,17,27,24,25,30,31,27,24,24,30,30,31,31,31,31,24,24,17,27,
27,31,31,24,24,25,25,31,31,31,31,31,31,27,25,25,24,24,30,31,31,27,24,24,30,30,30,31,27,24,30,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,27,31,24,27,27,25,27,24,24,24,24,24,27,24,25,30,31,27,24,24,30,30,31,24,24,24,24,24,24,24,27,24,25,30,31,27,24,24,30,30,31,31,24,24,24,24,29,
31,27,27,31,31,24,24,25,31,31,31,31,31,31,27,27,25,25,24,30,30,31,27,27,24,30,30,30,31,27,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,27,31,30,27,27,24,24,25,27,27,27,27,27,27,24,25,30,31,27,24,24,30,30,31,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,27,25,24,24,24,17,
31,31,31,27,27,31,31,24,25,25,31,31,31,31,31,31,27,27,25,24,24,30,31,31,27,24,24,30,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,30,27,31,30,24,27,24,25,27,25,31,31,31,31,27,27,24,25,30,31,27,24,24,30,30,31,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,27,27,31,27,25,24,24,24,
31,31,31,31,31,27,27,31,24,24,25,31,31,31,31,31,31,31,27,25,25,24,30,30,31,27,27,30,30,31,31,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,27,27,31,30,24,27,24,25,24,25,24,31,31,31,31,27,27,24,25,30,31,27,24,24,30,30,31,25,24,24,24,24,24,24,24,24,25,25,25,25,27,27,27,31,31,31,31,27,25,24,24,
31,31,31,31,31,31,27,27,31,31,24,25,25,31,31,31,31,31,31,27,27,25,24,24,30,31,31,24,25,30,30,31,31,31,30,31,31,31,27,27,24,24,30,30,30,31,31,27,27,31,31,30,24,27,27,25,24,27,25,25,30,30,30,30,27,27,24,25,30,31,27,24,24,30,30,31,27,25,25,25,25,25,25,25,25,27,27,27,27,31,31,31,31,31,31,31,31,27,25,24,
31,31,31,31,31,31,31,27,27,27,31,24,24,25,31,31,31,31,31,31,31,27,25,25,24,30,30,27,24,25,25,30,30,31,31,30,30,31,27,24,27,27,24,24,24,30,30,31,31,30,30,24,27,27,24,24,27,25,24,24,27,27,27,27,31,27,24,25,30,31,27,24,24,30,30,31,31,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,31,31,31,31,31,27,24,
31,31,31,31,31,31,31,31,27,24,27,31,31,24,25,25,31,31,31,31,31,31,27,27,25,24,24,31,27,24,25,25,25,30,30,30,31,30,30,27,24,30,27,27,27,24,24,30,30,24,24,27,27,24,25,27,25,25,25,27,31,31,31,31,30,27,24,25,30,31,27,24,24,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,31,25,
31,31,31,31,31,31,31,31,27,24,25,27,27,31,24,24,25,25,31,31,31,31,31,31,27,25,25,30,31,27,24,24,25,25,25,25,30,31,27,24,27,24,24,30,30,27,27,24,24,27,27,27,24,25,24,25,25,24,24,27,30,30,30,30,24,27,24,25,30,31,27,24,24,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,24,24,30,30,31,31,31,27,
25,31,31,31,31,31,31,31,31,27,24,25,27,27,31,31,24,24,25,31,31,31,31,31,31,27,27,30,31,30,31,27,24,25,25,25,25,31,27,24,25,27,27,24,24,30,30,27,27,27,27,24,25,24,27,25,24,25,27,27,30,24,24,24,27,24,27,24,25,30,31,27,24,24,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,25,30,31,27,24,24,30,30,31,31,31,
25,25,31,31,31,31,31,31,31,31,27,24,25,27,27,27,31,31,24,25,25,31,31,31,31,31,31,24,30,31,30,31,27,24,25,25,25,31,27,24,25,25,25,27,27,24,24,24,27,24,24,25,24,27,25,24,25,24,27,31,27,30,30,27,24,25,27,24,25,30,31,27,24,24,30,30,31,31,31,31,31,31,31,31,31,31,27,27,27,24,25,30,31,27,24,24,30,30,31,31,
24,25,25,31,31,31,31,31,31,31,31,27,24,25,27,27,27,27,31,24,24,25,31,31,31,31,31,27,24,30,31,30,31,27,24,24,25,31,27,24,25,25,25,25,25,27,27,27,24,25,25,24,27,25,25,25,24,27,27,31,27,27,30,30,24,27,24,25,24,24,24,24,25,31,31,31,31,27,27,24,25,24,25,31,27,31,27,27,27,24,25,30,31,27,24,24,30,30,31,31,
24,24,25,25,31,31,31,31,31,31,31,31,27,24,25,27,27,31,27,31,31,24,25,25,31,31,31,31,27,24,25,24,24,30,31,27,24,30,31,27,24,24,24,25,25,25,25,25,25,24,24,27,25,25,24,24,27,27,31,31,31,27,27,30,30,24,27,24,25,24,24,24,24,25,31,31,31,31,27,27,24,24,25,31,27,31,27,27,27,27,24,25,30,31,27,24,24,30,30,31,
27,24,24,25,25,31,31,31,31,31,31,31,31,27,24,25,27,27,31,27,27,31,24,24,25,31,31,30,31,27,24,24,24,24,24,30,31,27,24,24,30,31,27,24,24,24,24,24,24,27,27,25,25,24,25,27,27,27,31,31,31,31,27,27,30,30,27,24,25,24,24,24,24,24,25,31,31,31,31,27,27,24,24,25,31,27,31,27,27,27,24,25,30,31,27,24,24,30,30,31,
31,27,24,24,25,25,31,31,31,31,31,31,31,31,27,24,25,27,27,31,31,27,31,31,24,25,25,24,24,25,24,25,25,24,24,24,24,30,31,27,24,24,25,25,25,25,30,31,27,25,25,25,24,25,24,27,27,31,30,30,31,31,31,27,27,30,30,27,24,25,24,24,24,24,24,25,31,31,31,27,27,27,24,25,31,27,31,27,27,31,27,24,25,30,31,27,24,24,30,30,
27,31,27,24,24,25,25,31,31,31,31,31,31,31,31,27,24,25,27,27,31,31,27,27,31,24,24,25,25,24,24,24,25,25,25,24,24,24,24,30,31,27,24,24,25,25,25,25,25,25,25,24,25,24,27,27,31,31,24,30,30,31,31,31,27,27,30,30,27,24,25,24,24,24,24,24,25,31,31,31,27,27,24,25,31,27,31,27,27,31,24,27,24,25,30,31,27,24,24,30,
30,27,31,27,24,24,25,25,31,31,31,31,31,31,31,31,27,24,25,27,27,31,31,31,27,31,31,27,27,27,27,27,24,24,25,24,24,24,24,27,24,30,31,27,24,24,25,25,25,24,24,25,24,27,27,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,24,25,24,24,24,24,24,25,31,31,31,27,27,24,25,31,27,31,27,25,24,27,24,25,30,31,27,24,24,30,
24,30,27,31,27,24,24,25,25,31,31,31,31,31,31,31,31,27,24,25,27,27,31,31,31,27,27,31,27,27,27,27,27,27,24,24,25,25,24,24,24,27,24,30,31,27,24,24,24,25,25,24,27,27,27,31,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,24,25,24,24,24,24,24,25,31,31,31,27,24,25,31,27,31,27,24,24,25,27,24,25,30,31,27,24,24,
27,30,30,27,31,27,24,24,25,25,31,31,31,31,31,31,31,31,27,24,25,27,27,31,31,31,27,31,31,31,27,27,27,27,27,27,24,24,25,25,24,24,24,27,24,25,24,24,25,24,24,27,27,27,31,31,30,31,31,31,27,24,24,30,30,31,31,31,27,27,30,30,25,24,24,24,24,29,24,31,31,31,27,24,25,31,27,31,27,27,27,31,27,24,25,30,31,27,24,24,
